home,score,away,year
"Uruguay URU
","
4:0 (1:0) 
","CHI Chile
",1916
"Argentina ARG
","
6:1 (1:1) 
","CHI Chile
",1916
"Chile CHI
","
1:1 (0:1) 
","BRA Brasil
",1916
"Argentina ARG
","
1:1 (1:1) 
","BRA Brasil
",1916
"Uruguay URU
","
2:1 (0:1) 
","BRA Brasil
",1916
"Argentina ARG
","
0:0 
","URU Uruguay
",1916
"Uruguay URU
","
4:0 (2:0) 
","CHI Chile
",1917
"Argentina ARG
","
4:2 (1:2) 
","BRA Brasil
",1917
"Argentina ARG
","
1:0 (0:0) 
","CHI Chile
",1917
"Uruguay URU
","
4:0 (2:0) 
","BRA Brasil
",1917
"Brasil BRA
","
5:0 (4:0) 
","CHI Chile
",1917
"Uruguay URU
","
1:0 (0:0) 
","ARG Argentina
",1917
"Brasil BRA
","
6:0 (3:0) 
","CHI Chile
",1919
"Uruguay URU
","
3:2 (2:1) 
","ARG Argentina
",1919
"Uruguay URU
","
2:0 (2:0) 
","CHI Chile
",1919
"Brasil BRA
","
3:1 (1:0) 
","ARG Argentina
",1919
"Argentina ARG
","
4:1 (3:1) 
","CHI Chile
",1919
"Brasil BRA
","
2:2 (1:2) 
","URU Uruguay
",1919
"Brasil BRA
","
1:0 (0:0, 0:0, 0:0) (t. s.)
","URU Uruguay
",1919
"Chile CHI
","
0:1 (0:0) 
","BRA Brasil
",1920
"Argentina ARG
","
1:1 (0:1) 
","URU Uruguay
",1920
"Uruguay URU
","
6:0 (3:0) 
","BRA Brasil
",1920
"Chile CHI
","
1:1 (1:1) 
","ARG Argentina
",1920
"Argentina ARG
","
2:0 (1:0) 
","BRA Brasil
",1920
"Uruguay URU
","
2:1 (1:0) 
","CHI Chile
",1920
"Argentina ARG
","
1:0 (1:0) 
","BRA Brasil
",1921
"Paraguay PAR
","
2:1 (1:0) 
","URU Uruguay
",1921
"Paraguay PAR
","
0:3 (0:2) 
","BRA Brasil
",1921
"Argentina ARG
","
3:0 (1:0) 
","PAR Paraguay
",1921
"Uruguay URU
","
2:1 (1:0) 
","BRA Brasil
",1921
"Argentina ARG
","
1:0 (0:0) 
","URU Uruguay
",1921
"Brasil BRA
","
1:1 (1:1) 
","CHI Chile
",1922
"Uruguay URU
","
2:0 (2:0) 
","CHI Chile
",1922
"Brasil BRA
","
1:1 (0:1) 
","PAR Paraguay
",1922
"Argentina ARG
","
4:0 (3:0) 
","CHI Chile
",1922
"Brasil BRA
","
0:0 
","URU Uruguay
",1922
"Paraguay PAR
","
3:0 (2:0) 
","CHI Chile
",1922
"Uruguay URU
","
1:0 (1:0) 
","ARG Argentina
",1922
"Paraguay PAR
","
1:0 (1:0) 
","URU Uruguay
",1922
"Brasil BRA
","
2:0 (1:0) 
","ARG Argentina
",1922
"Argentina ARG
","
2:0 (0:0) 
","PAR Paraguay
",1922
"Brasil BRA
","
3:0 (1:0) 
","PAR Paraguay
",1922
"Argentina ARG
","
4:3 (1:1) 
","PAR Paraguay
",1923
"Uruguay URU
","
2:0 (1:0) 
","PAR Paraguay
",1923
"Paraguay PAR
","
1:0 (0:0) 
","BRA Brasil
",1923
"Argentina ARG
","
2:1 (1:1) 
","BRA Brasil
",1923
"Uruguay URU
","
2:1 (0:0) 
","BRA Brasil
",1923
"Uruguay URU
","
2:0 (1:0) 
","ARG Argentina
",1923
"Argentina ARG
","
0:0 
","PAR Paraguay
",1924
"Uruguay URU
","
5:0 (1:0) 
","CHI Chile
",1924
"Argentina ARG
","
2:0 (1:0) 
","CHI Chile
",1924
"Uruguay URU
","
3:1 (2:0) 
","PAR Paraguay
",1924
"Paraguay PAR
","
3:1 (2:1) 
","CHI Chile
",1924
"Uruguay URU
","
0:0 
","ARG Argentina
",1924
"Argentina ARG
","
2:0 (1:0) 
","PAR Paraguay
",1925
"Paraguay PAR
","
2:5 (1:3) 
","BRA Brasil
",1925
"Brasil BRA
","
1:4 (1:1) 
","ARG Argentina
",1925
"Brasil BRA
","
3:1 (1:0) 
","PAR Paraguay
",1925
"Paraguay PAR
","
1:3 (1:2) 
","ARG Argentina
",1925
"Argentina ARG
","
2:2 (1:2) 
","BRA Brasil
",1925
"Chile CHI
","
7:1 (4:0) 
","BOL Bolivia
",1926
"Argentina ARG
","
5:0 (4:0) 
","BOL Bolivia
",1926
"Chile CHI
","
1:3 (0:2) 
","URU Uruguay
",1926
"Argentina ARG
","
8:0 (5:0) 
","PAR Paraguay
",1926
"Paraguay PAR
","
6:1 (0:1) 
","BOL Bolivia
",1926
"Uruguay URU
","
2:0 (1:0) 
","ARG Argentina
",1926
"Uruguay URU
","
6:0 (4:0) 
","BOL Bolivia
",1926
"Chile CHI
","
1:1 (1:0) 
","ARG Argentina
",1926
"Uruguay URU
","
6:1 (3:0) 
","PAR Paraguay
",1926
"Chile CHI
","
5:1 (2:1) 
","PAR Paraguay
",1926
"Argentina ARG
","
7:1 (5:1) 
","BOL Bolivia
",1927
"Perú PER
","
0:4 (0:0) 
","URU Uruguay
",1927
"Uruguay URU
","
9:0 (3:0) 
","BOL Bolivia
",1927
"Perú PER
","
3:2 (3:2) 
","BOL Bolivia
",1927
"Argentina ARG
","
3:2 (0:1) 
","URU Uruguay
",1927
"Perú PER
","
1:5 (1:5) 
","ARG Argentina
",1927
"Paraguay PAR
","
3:0 (1:0) 
","URU Uruguay
",1929
"Argentina ARG
","
3:0 (2:0) 
","PER Perú
",1929
"Argentina ARG
","
4:1 (2:0) 
","PAR Paraguay
",1929
"Uruguay URU
","
4:1 (3:0) 
","PER Perú
",1929
"Paraguay PAR
","
5:0 (1:0) 
","PER Perú
",1929
